"","mRNAselected_values","ENSG"
"MMRF_2456","7.5621","2456"
"MMRF_2089","15.5866","2089"
"MMRF_2089","15.0828","2089"
"MMRF_2089","13.8543","2089"
"MMRF_1325","8.1805","1325"
"MMRF_1510","13.6902","1510"
"MMRF_1830","10.9206","1830"
"MMRF_1831","15.5438","1831"
"MMRF_1981","13.7506","1981"
"MMRF_1574","17.658","1574"
"MMRF_2718","16.0307","2718"
"MMRF_2485","12.0663","2485"
"MMRF_2005","11.489","2005"
"MMRF_2499","12.6582","2499"
"MMRF_1037","10.6092","1037"
"MMRF_2326","16.7018","2326"
"MMRF_1949","16.2859","1949"
"MMRF_1865","8.4886","1865"
"MMRF_2365","11.9689","2365"
"MMRF_1633","19.9649","1633"
"MMRF_1972","12.992","1972"
"MMRF_1718","18.1206","1718"
"MMRF_1639","7.8722","1639"
"MMRF_1639","9.5584","1639"
"MMRF_2068","7.8209","2068"
"MMRF_2801","18.2825","2801"
"MMRF_1855","7.8539","1855"
"MMRF_2813","11.561","2813"
"MMRF_2444","9.4497","2444"
"MMRF_2706","12.1116","2706"
"MMRF_1392","21.7623","1392"
"MMRF_2836","15.7533","2836"
"MMRF_1713","15.1708","1713"
"MMRF_1307","15.6484","1307"
"MMRF_2720","15.8665","2720"
"MMRF_1338","16.2245","1338"
"MMRF_1614","13.5786","1614"
"MMRF_1491","10.8285","1491"
"MMRF_1356","13.7304","1356"
"MMRF_1810","9.1385","1810"
"MMRF_1348","10.8346","1348"
"MMRF_2480","9.5228","2480"
"MMRF_2061","15.7464","2061"
"MMRF_1822","11.4485","1822"
"MMRF_1129","10.5891","1129"
"MMRF_1880","13.6095","1880"
"MMRF_1024","10.2407","1024"
"MMRF_1024","9.5128","1024"
"MMRF_1024","9.7524","1024"
"MMRF_2487","12.8079","2487"
"MMRF_1833","12.5521","1833"
"MMRF_1796","19.5844","1796"
"MMRF_2215","14.1442","2215"
"MMRF_2257","17.2435","2257"
"MMRF_2059","18.7386","2059"
"MMRF_1270","14.8306","1270"
"MMRF_1285","9.4359","1285"
"MMRF_1285","10.277","1285"
"MMRF_1374","8.7174","1374"
"MMRF_2843","12.0257","2843"
"MMRF_1537","13.2973","1537"
"MMRF_1650","18.9049","1650"
"MMRF_1216","12.6985","1216"
"MMRF_1908","11.018","1908"
"MMRF_2229","17.5549","2229"
"MMRF_2016","18.7883","2016"
"MMRF_1911","16.7226","1911"
"MMRF_1783","14.3797","1783"
"MMRF_1783","13.8319","1783"
"MMRF_1068","14.6594","1068"
"MMRF_1596","15.1349","1596"
"MMRF_2489","16.0389","2489"
"MMRF_1587","21.0358","1587"
"MMRF_1587","39.9106","1587"
"MMRF_2197","24.3939","2197"
"MMRF_1719","29.6472","1719"
"MMRF_1048","17.9877","1048"
"MMRF_2699","19.2864","2699"
"MMRF_1918","11.7289","1918"
"MMRF_1157","9.511","1157"
"MMRF_1157","11.7771","1157"
"MMRF_1157","8.5324","1157"
"MMRF_1157","8.8527","1157"
"MMRF_2250","17.0164","2250"
"MMRF_1778","11.9327","1778"
"MMRF_1778","5.5321","1778"
"MMRF_1716","14.421","1716"
"MMRF_1434","13.9786","1434"
"MMRF_1518","22.5471","1518"
"MMRF_1518","28.8485","1518"
"MMRF_2711","15.894","2711"
"MMRF_2353","15.1774","2353"
"MMRF_2832","13.7477","2832"
"MMRF_2118","17.9825","2118"
"MMRF_1250","13.5427","1250"
"MMRF_2373","18.4118","2373"
"MMRF_2373","18.5237","2373"
"MMRF_2352","18.4597","2352"
"MMRF_2459","10.8495","2459"
"MMRF_1308","14.4658","1308"
"MMRF_1900","14.2741","1900"
"MMRF_2214","18.8698","2214"
"MMRF_2072","15.0793","2072"
"MMRF_1775","14.4171","1775"
"MMRF_1131","11.7678","1131"
"MMRF_2232","12.6912","2232"
"MMRF_1224","10.2238","1224"
"MMRF_1977","11.9961","1977"
"MMRF_1269","16.6999","1269"
"MMRF_2638","15.0637","2638"
